ASV,kingdom,phylum,class,order,family,genus,HexColor,ColorOrder
ASV_4715,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerosporobacter,#BEA89A,104
ASV_4716,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_4717,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,<not present>,#BEA89A,104
ASV_4718,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,#EE2C2C,146
ASV_4719,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,<not present>,#1CF8EC,125
ASV_472,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_4720,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,#EE2C2C,146
ASV_4721,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Belnapia,#EE2C2C,146
ASV_4722,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,<not present>,#1CF8EC,125
ASV_4723,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paeniclostridium,#BEA89A,104
ASV_4724,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,#5875DE,83
ASV_4725,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pseudogracilibacillus,#5875DE,83
ASV_4726,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,#5875DE,83
ASV_4727,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4728,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,#EE2C2C,146
ASV_4729,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_473,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,#5875DE,83
ASV_4730,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Peptoniphilus,#BEA89A,104
ASV_4731,Bacteria,Firmicutes,Bacilli,Desulfuribacillales,Desulfuribacillaceae,Desulfuribacillus,#5875DE,83
ASV_4732,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,#BEA89A,104
ASV_4733,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,#D0D0D0,188
ASV_4734,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,<not present>,#EE2C2C,146
ASV_4735,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,<not present>,#D0D0D0,188
ASV_4736,Bacteria,Firmicutes,Limnochordia,Hydrogenispora,<not present>,<not present>,#D0D0D0,188
ASV_4737,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,#D0D0D0,188
ASV_4738,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,#BEA89A,104
