SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1157Y	0	426	6420	0	0	13	0	0	0	0	0	17221	15	0	0	0	1804	0	0	12	356	51
1165C	0	1508	0	0	0	0	0	0	0	0	0	10595	0	0	0	0	0	0	0	0	0	0
116E	0	3003	12394	0	0	0	0	0	0	0	0	239719	0	0	0	0	12	0	0	0	23	0
1171CC	0	359	28	0	0	0	0	0	0	0	0	15148	0	0	0	0	57	0	0	0	0	0
1171DD	0	400	299	0	0	0	0	0	0	0	0	30147	0	0	0	0	76	0	0	0	0	0
1171EE	0	391	8303	0	0	0	0	0	0	0	0	38309	0	0	0	0	300	0	0	0	6	0
1172D	0	457	1602	0	0	0	0	0	0	0	0	36604	0	0	0	0	18	0	0	14	414	0
1173M	0	1158	93	0	0	0	0	0	0	0	0	112282	0	0	0	0	42	0	0	0	27	0
1174J	0	1550	1646	0	0	5	0	0	0	0	0	49142	0	0	0	0	64345	0	0	0	0	223
1174K	0	360	1220	0	0	0	0	0	0	0	0	15504	0	0	0	0	72515	0	0	0	0	665
1174L	0	1418	11084	0	0	5	0	0	0	0	0	15571	0	0	0	0	67734	0	0	0	0	560
1174M	0	1294	1557	0	0	0	0	0	0	0	0	11017	0	0	0	0	71497	0	0	0	0	722
1176AA	0	4633	3110	0	0	0	0	0	0	0	0	58780	0	0	0	0	5498	0	0	0	0	31
1176F	0	14834	8634	0	0	0	0	0	0	0	0	64457	1625	0	0	0	105	0	0	0	0	36
1176G	0	242	165	0	0	0	0	0	0	0	0	73185	0	0	0	0	139	0	0	0	6	56
1176J	0	6993	1983	0	0	0	0	0	0	0	0	57323	377	0	0	0	93	0	0	0	0	43
1176P	0	263	949	0	0	57	0	0	0	0	0	88582	0	0	0	0	164	0	0	0	0	59
1176Q	0	441	185	0	0	52	0	0	0	0	0	76352	0	0	0	0	145	0	0	0	3	53
1176W	0	1214	3525	0	0	9	0	0	0	0	0	59374	0	0	0	0	144	0	0	0	0	57
1176X	0	431	342	0	0	19	0	0	0	0	0	57851	0	0	0	0	133	0	0	0	0	55
1176Y	0	2504	429	0	0	11	0	0	0	0	0	94463	0	0	0	0	155	0	0	0	0	54
1176Z	0	11170	3519	0	0	0	0	0	0	0	0	84237	6	0	0	0	2880	0	0	0	0	27
1179D	0	1106	39	0	0	0	0	0	0	0	0	49463	7	0	0	0	39492	0	0	0	0	930
1179E	0	1457	242	0	0	0	0	0	0	0	0	51674	19	0	0	0	29635	0	0	0	0	421
1179L	0	3146	0	0	0	0	0	0	0	0	0	77558	0	0	0	0	134	0	0	0	0	77
1179M	0	2364	0	0	0	0	0	0	0	0	0	87724	0	0	0	0	126	0	0	0	0	69
1179N	0	959	0	0	0	0	0	0	0	0	0	79303	0	0	0	0	128	0	0	0	0	87
1179O	0	640	0	0	0	0	0	0	0	0	0	72137	0	0	0	0	140	0	0	0	0	78
1179P	0	286	0	0	0	0	0	0	0	0	0	59766	0	0	0	0	99	0	0	0	0	55
1179Q	0	748	4	0	0	0	0	0	0	0	0	76944	0	0	0	0	133	0	0	0	0	53
1179R	0	1271	0	0	0	0	0	0	0	0	0	80360	0	0	0	0	131	0	0	0	0	72
1179T	0	3698	0	0	0	6	0	0	0	0	0	63710	0	0	0	0	163	0	0	0	0	39
