SampleID	x_notPresent_	Archaea	Bacteria
547D	0.0284846183061147	0	99.9715153816939
553A	0	0	100
555E	0	0	100
555F	0	0	100
566D	0	0	100
576D	0	0	100
577C	0	0	100
580A	0	0	100
580B	0	0	100
587D	0	0	100
592A	0	0	100
593B	0	0	100
599B	0	0	100
604A	0	0.433142378091379	99.5668576219086
605D	0	0	100
610F	0	0	100
610H	0.0985221674876847	0	99.9014778325123
613F	0	0.0484792277048247	99.9515207722952
621B	0	0	100
624A	0	0	100
630A	0	0	100
630D	0	0	100
630E	0	0	100
641B	0	0	100
647D	0	0	100
648D	0	0	100
657A	0	0	100
664B	0	0	100
664C	0	0	100
670A	0	0	100
672A	0	0	100
672B	0	0	100
672C	0	0	100
672D	0	0	100
673A	0	0	100
678A	0	0	100
678B	0	0	100
678E	0	0	100
678F	0	0	100
680R	0	0	100
680S	0	0	100
680T	0	0	100
682K	0	0	100
682L	0	0	100
697C	0	0	100
698B	0	0	100
708B	0	0	100
719D	0	0	100
727F	0	0	100
747A	0	0	100
747B	0	0	100
751B	0	0	100
753A	0	0	100
755D	0	0	100
772C	0.0440008987417615	0	99.9559991012582
774B	0	0	100
782C	0	0	100
786A	0	0	100
786B	0	0	100
791A	0	0	100
791C	0	0	100
795A	0	0	100
798B	0	0	100
798C	0	0	100
807A	0	0	100
823A	0	0	100
824A	0	0	100
824B	0	0	100
831A	0	0	100
831B	0	0	100
835F	0	0	100
835I	0	0	100
836A	0	0	100
836B	0	0	100
836C	0	0	100
836F	0	0	100
836G	0	0	100
836H	0	0	100
840E	0	0	100
841D	0	0	100
841F	0	0	100
843B	0	0	100
843C	0	0	100
843E	0	0	100
853A	0	0	100
853B	0	0.250402432480773	99.7495975675192
861C	0	0	100
861D	0	0	100
862B	0	0	100
865C	0.0492449113591596	0	99.9507550886408
868G	0	0	100
870C	0	0	100
870D	0	0	100
870E	0	0	100
870F	0	0	100
872F	0	0	100
873A	0	0	100
893A	0	0	100
896J	0	0	100
918A	0	0	100
926A	0	0	100
926B	0	0	100
926C	0	0	100
926E	0	0	100
926F	0	0	100
926G	0	0	100
934C	0	0	100
934D	0	0	100
937B	0	0.902911636400528	99.0970883635995
938B	0	0	100
949B	0	0	100
949C	0	0	100
949F	0	0	100
953A	30.0970873786408	0	69.9029126213592
961C	0	0	100
961D	0	0.0345085408638638	99.9654914591361
961E	0	0	100
961F	0	0.0481024836071799	99.9518975163928
979D	0	0	100
979E	0	0	100
981C	0	0	100
990A	0	0	100
998A	0	0	100
FMT.0009H	0	0	100
FMT.0009I	0	0	100
FMT.0013H	0	0	100
FMT.0013I	0	0	100
FMT.0013K	0	0	100
FMT.0013M	0	0	100
FMT.0016H	0	0	100
FMT.0016I	0	0	100
FMT.0020A	0	0	100
FMT.0020B	0	0	100
FMT.0020C	0	0	100
FMT.0020E	0	0	100
FMT.0020G	0	0	100
FMT.0020H	0	0	100
FMT.0020J	0	0	100
FMT.0020K	0	0	100
FMT.0020L	0.0171695926514143	0	99.9828304073486
FMT.0020M	0	0	100
FMT.0021C	0	0	100
FMT.0027A	0	0.0137722368655236	99.9862277631345
FMT.0030C	0	0	100
FMT.0033D	0	0	100
FMT.0033E	0	0	100
FMT.0033J	2.9079721776351	0	97.0920278223649
FMT.0043B	0	0	100
FMT.0043C	0	0	100
FMT.0043D	0.235615079365079	0	99.7643849206349
FMT.0044D	0	0	100
FMT.0044E	0	0	100
FMT.0045A	0	0	100
FMT.0045B	0	0	100
FMT.0047B	0	0	100
FMT.0047C	0	0	100
FMT.0049B	0	0	100
FMT.0055O	0	0	100
FMT.0055P	0	0	100
FMT.0055Q	0	0	100
FMT.0055R	0	0	100
FMT.0055S	0	0	100
FMT.0059CC	0	0	100
FMT.0059DD	0	0	100
FMT.0059F	0	0	100
FMT.0059G	0	0	100
FMT.0059H	0	0	100
FMT.0059I	0	0	100
FMT.0059J	0	0	100
