SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1110J	0	0.424031069192359	0.210034081001823	0	0	0	0	0	0	0	0	99.2153443766347	0	0	0	0	0.0356661646984228	0	0	0	0.114924308472696	0
1110L	0	0.500821660536818	0.289537522497848	0	0	0	0	0	0	0	0	92.4798497535018	0	0	0	0	0.101729399796541	0	0	0	6.62806166366695	0
1110M	0	0.105359275128187	1.88241904895694	0	0	0	0	0	0	0	0	83.3953782397977	0	0	0	0	0	0	0	0	14.6168434361172	0
1112F	0	8.68483264899838	0.0323503794948364	0	0	0	0	0	0	0	0	91.1633694164489	0	0	0	0	0.119447555057857	0	0	0	0	0
1116A	0	0.621168975336647	11.7510497610889	0	0	0	0	0	0	0.00289589265891211	1.60577247936676	85.7218012452338	0	0	0	0	0.153482310922342	0	0.00434383898836816	0	0.0400598484482842	0.0994256479559824
1117E	0	1.21020784004209	0.181969657107779	0	0	0	0	0	0	0	0	95.5757256862229	0	0	0	0	2.98386389546611	0	0	0	0	0.048232921161098
1120	0	2.65957446808511	0	0	0	0	0	0	0	0	0	97.3404255319149	0	0	0	0	0	0	0	0	0	0
1121B	0	7.57782389564186	2.76311888526534	0	0	0	0	0	0	0	0	72.7305069670916	15.5054847316929	0	0	0	0.136377112362882	0	0	0	1.28668840794545	0
1121C	0	1.48626817447496	0	0	0	1.0016155088853	0	0	0	0	0	88.7560581583199	0	0	0	0	1.13085621970921	0	0	0	7.62520193861066	0
1121D	0	0.228931501881318	80.5022893150188	0	0	0.0135998912008704	0	0	0	0	0	19.1667799990933	0	0	0	0	0.0815993472052224	0	0	0	0.0067999456004352	0
1123C	0	2.52080856123662	30.243757431629	0	0	0	0	0	0	0	0	12.1165279429251	0	0	0	0	9.18549346016647	0	0	0	45.9334126040428	0
1123D	0	15.698154778298	3.84650693105664	0	0	0.376388506380244	0	0	0	0.0642614523088222	0	68.6220508583494	0.0459010373634444	0	0	0	3.32323510511338	0	0	0.0826218672541999	3.35995593500413	4.58092352887175
1123G	0	1.81250987205813	0.110567051018796	0	0	0	0	0	0	0	0	97.9150213236455	0	0	0	0	0.138208813773496	0	0	0	0	0.0236929395040278
1123I	0	6.68601015533155	0.0600315165461867	0	0	0	0	0	0	0	0	92.9312889266865	0.02251181870482	0	0	0	0.300157582730934	0	0	0	0	0
1123K	0	57.8212883370476	1.00817149527751	0	0	0	0	0	0	0.0291839117054017	0	39.790937068874	0.135307226997771	0	0	0	1.21511196009763	0	0	0	0	0
1123M	0	46.9628899534692	1.08648314117404	0	0	0	0	0	0	0	0	51.6343090288124	0	0	0	0	0.316317876544342	0	0	0	0	0
1123Q	0	1.82723071453964	0.0355492356914326	0	0	0	0	0	0	0	0	97.7746178457163	0	0	0	0	0.177746178457163	0	0	0	0	0.18485602559545
1123R	0	0.677768577299353	0.0337350875578863	0	0	0	0	0	0	0	0	98.8315392400405	0.0214677829913822	0	0	0	0.156408133222928	0	0	0	0	0.279081178887969
1123S	0	4.96105222832333	0	0	0	0	0	0	0	0	0	94.5856212488826	0	0	0	0	0.0766185672327927	0	0	0	0	0.376707955561231
1124A	0	2.20680958385876	63.4930643127364	0	0	0	0	0	0	0	0	27.8688524590164	0	0	0	0	4.00378310214376	0	0	0	2.42749054224464	0
1124D	0	0.839218944744495	7.57789779808891	0	0	0.282509347735771	0.0166181969256336	0	0	0	0	83.0162027420025	0	0	0	0	4.31242210220191	0	0	0.664727877025343	2.71707519734109	0.573327793934358
1124H	0	1.47922115664051	0	0	0	0	0	0	0	0	0	97.77971519907	0	0	0	0	0.741063644289451	0	0	0	0	0
1127D	0	5.91775117126497	16.1936491410724	0	0	0	0	0	0	0	0	72.5871941697033	5.24726704841229	0	0	0	0.0353982300884956	0	0	0	0	0.0187402394586153
1127E	0	0.0832039050366097	0	0	0	0.155313956068338	0	0	0	0	0	99.2733525626803	0	0	0	0	0.488129576214777	0	0	0	0	0
1132A	0	3.35321732377961	1.58483639829162	0	0	0	0	0	0	0	0.17648512230419	92.5417387314249	0	0	0	0	2.09311355052769	0	0.0776534538138435	0	0.0776534538138435	0.0953019660442625
1132B	0	1.97823259634472	0	0	0	0	0	0	0	0	0	86.7342049421589	0	0	0	0	11.2670271750291	0	0	0	0.0205352864672462	0
1133A	0	11.6942073724351	9.95097149082985	0	0	0	0	0	0	0	0	77.7192663882332	0	0	0	0	0.635554748501907	0	0	0	0	0
1133B	0	2.53393665158371	8.20408800124824	0	0	0	0	0	0	0	0	89.0435325323763	0	0	0	0	0.177874863473241	0	0	0	0.0405679513184584	0
1133D	0	3.3551247370003	9.70844604749023	0	0	0	0	0	0	0	0	85.7980162308386	0	0	0	0	1.07829876765855	0	0	0	0.0300571085061617	0.0300571085061617
1136D	0	1.31578947368421	0.0386996904024768	0	0	0.0175907683647622	0	0	0	0	0	97.7413453419645	0	0	0	0	0.788066422741345	0	0	0	0	0.0985083028426682
1138C	0	2.00986989681472	0.457604306864065	0	0	0	0	0	0	0	0	97.3441004934948	0	0	0	0	0.0897263346792284	0	0	0	0.0986989681471512	0
1144E	0	0.657707509881423	0.0600790513833992	0	0	0.110671936758893	0	0	0	0	0	92.2055335968379	0	0	0	0	6.92173913043478	0	0	0	0	0.0442687747035573
1150C	0	5.36858251375981	0	0	0	0	0	0	0	0	0	93.0433998014978	0	0	0	0	0	0	0	0	1.5880176847424	0
1150D	0	7.16727953035288	0.0612863686213793	0	0	0	0	0	0	0	0	90.8747822721115	0	0	0	0	0	0	0	0	1.89665182891426	0
1151H	0	12.3685227321513	0.0429313527669257	0	0	0	0	0	0	0	0	85.854119263298	0	0	0	0	0.287640063538402	0	0	0	1.4467865882454	0
1156B	0	5.70462708641454	5.95816606803296	0	0	0.0352137474470033	0	0	0	0	0	84.5341221212761	0	0	0	0	3.04951052891049	0	0	0	0.718360447918868	0
1157C	0	0.980005825209451	24.2851268696352	0	0	0	0	0	0	0	0	74.6903215858276	0	0	0	0	0.0085664844860966	0	0.0042832422430483	0	0.0316959925985574	0
1157D	0	7.62963465057954	1.32583203416254	0	0	0.00542262590659527	0	0	0	0	0	90.9455703924626	0	0	0.0230461601030299	0	0.0135565647664882	0	0	0	0.0474479766827086	0.00948959533654172
1157DD	0	3.62448418156809	19.5735900962861	0	0	4.78679504814305	0	0	0	0	0	62.0220082530949	0	0	0	0	5.02063273727648	0	0	0.0550206327372765	4.53232462173315	0.385144429160935
