FMT.0158V,2.3778276,5.629837
1092J,0.7478833,5.1133165
FMT.0183A,-0.25647458,3.3413298
1133E,2.463606,2.0994375
FMT.0125E,6.9980154,1.6264558
1092K,0.8280467,5.035245
FMT.0090A,-1.1932195,-1.5668417
932I,-2.3473306,7.4739428
2019C,0.3874743,-3.2267625
710A,-3.1203368,0.59188557
224I,-0.29668868,7.166669
932J,5.1235003,1.2241269
2020B,-0.004801767,2.6409683
1338R,-0.27467617,4.226002
FMT.0119A,-1.9451432,-0.97525585
1002A,-2.8169467,-1.6167326
FMT.0206A,-3.2049527,0.50528026
FMT.0070A,-2.391345,0.83530915
FMT.0225A,-4.5791435,0.9687214
FMT.0113P,-3.2025454,-1.5995078
121A,-2.9423146,-1.6074804
FMT.0046A,-0.00734492,-1.6787075
FMT.0016G,-2.1844923,2.3594394
FMT.0136A,-2.765597,-1.2918031
FMT.0161A,-3.1175597,-0.85191125
1143A,-3.4227247,-0.47471318
FMT.0189A,0.24358079,-1.9598352
FMT.0034A,-2.158235,0.0921584
FMT.0166A,-4.3173823,-0.27692455
FMT.0195A,-0.6675652,-1.0794697
FMT.0245A,-1.8519274,0.8094521
155A,-3.1760707,-1.7154074
FMT.0207A,-1.8402328,-1.8095177
FMT.0186A,-1.6054455,2.200554
406D,-1.9324569,0.4395746
1343A,-4.5881934,0.85168266
224J,0.2518385,1.5890502
FMT.0232A,-2.3411562,-0.9498357
166A,0.75349057,-1.4369699
1343B,-4.611126,1.0513742
FMT.0089A,-0.8271315,-1.6776469
FMT.0214A,-1.602379,-1.3855617
FMT.0181A,-3.1575077,-1.3173096
FMT.0114A,-1.9010712,-1.8474144
FMT.0158W,4.6481266,2.5975623
FMT.0117A,-0.6382785,-1.7232863
FMT.0162A,-3.0498517,-1.4095654
FMT.0158A,-3.0811636,0.851826
FMT.0217A,-1.6574148,-1.8153031
FMT.0114R,-1.2484691,5.514323
FMT.0230A,-2.1754801,-1.5488153
FMT.0114S,0.2480148,4.8505335
FMT.0143A,-3.5724711,0.17874022
FMT.0030A,0.805101,0.35361844
1660A,-1.5485188,-1.3433375
FMT.0229A,-1.8673159,-1.6891998
FMT.0035A,-0.2116514,-2.270842
1121,-3.3366432,-1.3928516
FMT.0191A,-3.0332754,-1.0684894
FMT.0013A,-4.20786,-0.34287074
FMT.0114T,0.32318202,4.7598925
FMT.0052A,-1.052451,-1.4307271
FMT.0107A,-0.98372805,-1.6473842
FMT.0079A,-1.510615,-1.770864
FMT.0105A,-0.9372457,-1.0745236
FMT.0165A,-1.1552246,-1.4706031
FMT.0043A,-1.9812787,-0.45309016
101A,-2.2077794,1.076394
FMT.0055A,-1.97553,-1.2764482
FMT.0157A,-4.4896507,0.3334845
FMT.0194A,-1.5852195,-1.8630404
FMT.0102A,-1.3352463,-1.6927357
1203A,-1.8746368,0.5956143
FMT.0169A,-2.3503215,-1.3971071
FMT.0134A,-1.7686291,-1.811521
153A,-3.74247,-0.35043734
1428A,-0.5550927,-1.2179743
FMT.0138A,-0.3316139,-1.4758235
FMT.0126A,0.69702756,-1.2163498
1118A,5.3325453,3.151547
FMT.0061A,-2.3292959,-1.6689867
FMT.0114U,5.1545243,1.9941664
FMT.0182A,-3.2179964,0.606971
689A,-1.0807076,0.66127133
FMT.0109A,-1.5621083,-1.7025797
492A,-3.2804387,-1.1969917
835C,-2.6359177,1.8199157
FMT.0171A,-1.6796031,-1.77389
FMT.0197A,-3.0265908,0.6536416
FMT.0005A,-2.4719489,-1.625079
FMT.0160A,-0.16980948,-2.3943055
FMT.0072A,2.4842443,5.867449
FMT.0114V,3.6725783,2.243631
507A,-3.1127248,7.136771
FMT.0250A,-1.5110695,-1.7855266
FMT.0112A,-2.0813756,-0.030726481
FMT.0192A,-0.58177656,-1.71087
FMT.0239A,-5.0180616,0.8731089
FMT.0114W,3.014452,2.6287692
FMT.0236A,-1.8285902,-1.5838493
FMT.0204A,-1.8606247,-1.6646913
FMT.0069A,-0.9262247,0.38660496
FMT.0077A,-1.8381147,-1.7636172
FMT.0155A,-3.7097352,-0.9525622
FMT.0189B,0.14698948,-1.0815269
FMT.0106A,-3.9068122,-0.6392356
FMT.0187A,-2.9246745,-0.43930638
FMT.0114X,2.800952,2.838782
FMT.0137A,-2.9691164,0.54167706
FMT.0033A,-1.4162093,-1.4183233
FMT.0016A,-3.7412152,-0.5849893
1167XX,4.281705,1.9809282
FMT.0211A,-3.1558385,-1.5801667
297I,-3.381237,-0.25582933
FMT.0041A,-0.43182635,-2.0941098
FMT.0174A,-1.4260393,-0.28053373
FMT.0108A,0.2828532,-1.1404144
FMT.0099A,-4.70764,0.4512793
1230A,-2.1453083,0.36158806
FMT.0083A,-0.14107552,-2.3545387
FMT.0101A,-1.6596216,-1.8294982
FMT.0004A,-3.5657969,-0.7523358
876A,-0.64107525,0.42635068
FMT.0179A,-0.9734598,-1.3360847
FMT.0103A,-3.2433991,-1.4979668
FMT.0104A,-1.8125814,-1.7900493
FMT.0227A,-1.9825491,-1.7775154
1305A,-2.6342084,-0.81303895
FMT.0162B,-2.9042068,0.3828388
103A,-2.1202693,-1.4579839
FMT.0094A,-5.097867,1.123651
FMT.0238A,-2.5077438,1.1626141
FMT.0113A,-1.5404383,-1.397365
1844A,-2.399304,0.18752153
956A,-0.9738911,0.35113314
FMT.0007A,-3.229824,-1.3728333
FMT.0122A,-4.7012424,0.51687723
FMT.0097A,-3.3014145,0.19447064
FMT.0140B,-3.1422744,-1.6311486
